character,label,moral,physical,gender,loyalty
cersei-lannister,Cersei,0.101449275,0.2421875,F,Lannister
jaime-lannister,Jaime,0.499074074,0.206666667,M,Lannister
daenerys-targaryen,Daenerys,0.6875,0.103703704,F,Targaryen
tyrion-lannister,Tyrion,0.750724638,0.543333333,M,Targaryen
jon-snow,Jon Snow,0.903703704,0.165217391,M,Targaryen
margaery-tyrell,Margaery,0.540740741,0.142028986,F,Tyrell
sansa-stark,Sansa,0.686956522,0.196296296,F,Stark
bronn,Bronn,0.5,0.527536232,M,Lannister
varys,Varys,0.503703704,0.635185185,M,Targaryen
petyr-baelish,Littlefinger,0.212962963,0.485185185,M,Stark
brienne-of-tarth,Brienne,0.880208333,0.533333333,F,Stark
sandor-clegane-the-hound,Hound,0.513043478,0.788888889,M,Stark
arya-stark,Arya,0.662962963,0.373913043,F,Stark
ned-stark,Ned,0.889855072,0.394202899,M,Stark
bran-stark,Bran,0.692592593,0.487037037,M,Stark
grey-worm,Grey Worm,0.773746111,0.303333333,M,Targaryen
melisandre,Melisandre,0.397101449,0.24057971,F,Stark
tywin-lannister,Tywin L.,0.192592593,0.504347826,M,Lannister
olenna-tyrell,Olenna T.,0.508257594,0.495360588,F,Tyrell
hodor,Hodor,0.95,0.672727273,M,Stark
ramsay-bolton,Ramsay B.,0.037037037,0.53333333,M,Bolton
loras-tyrell,Loras T.,0.526666667,0.299999989,M,Tyrell
jorah-mormont,Jorah M.,0.696666667,0.438384825,M,Targaryen
tommen-baratheon,Tommen,0.598148148,0.405555556,M,Lannister
davos-seaworth,Davos,0.825520833,0.498550725,M,Stark
the-high-sparrow,High Sparrow,0.259259259,0.686956522,M,Lannister
samwell-tarly,Samwell,0.927777778,0.588888889,M,Stark
yara-greyjoy,Yara G.,0.582608696,0.484057971,F,Greyjoy
theon-greyjoy,Theon G.,0.479166667,0.57,M,Greyjoy
stannis-baratheon,Stannis,0.425,0.542424242,M,Baratheon
jaqen-hghar,Jaqen,0.498148148,0.436033307,M,Stark
qyburn,Qyburn,0.203703704,0.668518519,M,Lannister
joffrey-baratheon,Joffrey,0.040740741,0.561363636,M,Lannister
robb-stark,Robb S.,0.776945024,0.234782609,M,Stark
catelyn-stark,Catelyn S.,0.715151515,0.361111111,F,Stark
robert-baratheon,Robert B.,0.502604167,0.641126847,M,Baratheon
gregor-clegane,Mountain,0.101851852,0.87962963,M,Lannister
shireen-baratheon,Shireen,0.924637681,0.45,F,Baratheon
missandei,Missandei,0.826086957,0.146666667,F,Targaryen
ygritte,Ygritte,0.656666667,0.225925926,F,Stark
daario-naharis,Daario,0.551851852,0.229689442,M,Targaryen
roose-bolton,Roose B.,0.183333333,0.575925926,M,Bolton
podrick-payne,Podrick,0.820289855,0.418518519,M,Stark
jeor-mormont,Jeor M.,0.744927536,0.524074074,M,Stark
meera-reed,Meera,0.82037037,0.362962963,F,Stark
night-king,Night King,0.040974241,0.87826087,M,Night King
ellaria-sand,Ellaria S.,0.356770833,0.226666667,F,Sand Sisters
shae,Shae,0.424074074,0.25,F,Lannister
khal-drogo,Khal Drogo,0.5,0.255555556,M,Targaryen
gendry,Gendry,0.73030303,0.337037037,M,Baratheon
rickon-stark,Rickon S.,0.6554,0.451851852,M,Stark
grand-maester-pycelle,Gr. Mstr. Pycelle,0.4306,0.5991,M,Lannister
gilly,Gilly,0.77935,0.5895,F,Stark
