Longitude,Latitude,Place,Category,Address
-120.644259,38.143501,Calaveras County Airport,Airport,"Maury Rasmussen Field<br>3600 Carol Kennedy Dr. Rte. 3<br>San Andreas, California 95249"
-120.665717,38.193597,Calaveras County Sheriff,Sheriff,"1045 Jeff Tuttle Drive<br>San Andreas, CA 95249<br>(209) 754-6500 Sheriff<br>(209) 754-6499 Jail"
-120.667128,38.19089,Calaveras County Government Center,Government Center,891 Mountain Ranch Rd.<br>San Andreas CA  95249
-120.566261,38.086156,Angels Camp Branch Library,Library,"426 N. Main St.<br>Angels Camp, CA 95222"
-120.347307,38.257951,Arnold Branch Library,Library,"1065 Blagen Rd.<br>Arnold, CA 95223"
-120.606671,37.93998,Copperopolis Branch Library,Library,"60 Copper Cove Drive #C<br>Copperopolis, CA 95228"
-120.705746,38.30122,Mokelumne Hill Branch Library,Library,"8328 Main St.<br>Mokelumne Hill, CA 95245"
-120.46343,38.136464,Murphys Branch Library,Library,"480 Park Lane<br>Murphys, CA 95247"
-120.66282,38.189414,San Andreas Central Library,Library,"1299 Gold Hunter Rd.<br>San Andreas, CA 95249"
-120.832416,38.191101,Valley Springs Branch Library,Library,"240 Pine Street<br>Valley Springs, CA 95252"
-120.529745,38.400284,West Point Branch Library,Library,"291 Main St.<br>West Point, CA 95255"
-120.364518,38.206452,Avery Transfer Station,Transfer Stations,"4541 Segale Road<br>Avery, CA 95224"
-120.603522,37.935254,Copperopolis Transfer Station,Transfer Stations,"3831 O'Byrnes Ferry Rd.<br>Copperopolis, CA"
-120.681016,38.181032,Gambi Disposal,Transfer Stations,"638 Church Hill Street<br>San Andreas, CA"
-120.788755,38.239225,Paloma Transfer Station,Transfer Stations,"4347 Paloma Road<br>Paloma, CA"
-120.492017,38.073856,Red Hill Transfer Station,Transfer Stations,5314 Red Hill Road<br>Vallecito
-120.490032,38.076981,Red Hill Yard Waste Area,Transfer Stations,5314 Red Hill Road<br>Vallecito
-120.843344,38.039228,Rock Creek Solid Waste Facility,Transfer Stations,"12021 Hunt Road<br>Milton, CA 95230"
-120.719995,38.250183,San Andreas Transfer Station,Transfer Stations,"4285 California 49<br>San Andreas, CA 95249"
-120.521661,38.370825,Wilseyville Transfer Station & Yard,Transfer Stations,"End of Blizzard Mine Road<br>Wilseyville, CA"
-120.67499,38.191973,Public Access Television,TV,"Enter on the right side of the (S.A.M.M.) gas station and turn right to go down the driveway, turn left at the bottom of the driveway. <br><br>At the end of the building turn left and continue straight, through a fenced in parking lot, continue into the second lot. The Studio is straight ahead. ñPublic Access TVî sign is on the building."
